establecimiento,producto,marca,presentacion,gramaje,precio,aroma,frentes,nivel_de_percha,promoción,tipo_medida
emprovit,jabón liquido,jolly,botella,500ml,1.8,floral,1.0,3,,volumen
emprovit,jabón liquido,only,botella,1l,1.45,bambú,1.0,3,,volumen
emprovit,jabón liquido,only,botella,250ml,0.86,naranja,2.0,3,,volumen
emprovit,jabón liquido,sarys,doypack,1l,1.75,vainilla exótica,1.0,3,,volumen
emprovit,desinfectante,kalipto,botella,2lt,4.15,naranja+limón con bicarbonato,1.0,1,,volumen
emprovit,desinfectante,kalipto,botella,1l,2.1,lavanda,1.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,900ml,2.0,manzana+canela,1.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,1gl,7.2,vainilla,1.0,1,,volumen
emprovit,desinfectante,elis,botella,1l,1.45,lavanda,1.0,media,,volumen
emprovit,desinfectante,gol,doypack,550ml,0.63,eucalipto,1.0,2,,volumen
emprovit,desinfectante,tips,botella,1l,1.35,frutilla,1.0,1,,volumen
emprovit,desinfectante,klean,botella,1gl,3.36,eucalipto,1.0,1,,volumen
emprovit,desinfectante,elis,botella,1gl,4.65,eucalipto,1.0,1,,volumen
emprovit,desinfectante,gol,doypack,300ml,0.32,lavanda,1.0,3,,volumen
emprovit,desinfectante,tips,botella,500ml,0.68,eucalipto,5.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,450ml,0.85,manzana+canela,4.0,3,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,manzana+canela,1.0,arriba,,volumen
emprovit,desinfectante,tips,botella,240ml,0.33,manzana,2.0,3,,volumen
emprovit,desinfectante,fabuloso,doypack,240ml,0.35,lavanda,2.0,3,,volumen
emprovit,desinfectante,estrella,botella,250ml,0.43,eucalipto,2.0,3,,volumen
emprovit,desinfectante,fabuloso,botella,500ml,0.8,naranja,2.0,ojos,,volumen
emprovit,desinfectante,ajax,botella,1l,2.6,naranja - limon,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,1l,2.1,naranja,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,2lt,4.05,lavanda,1.0,2,,volumen
emprovit,desinfectante,ajax,botella,3lt,6.65,naranja-limon con bicarbonato,1.0,mediano,,volumen
emprovit,desinfectante,fabuloso,botella,3lt,5.75,lavanda,1.0,2,,volumen
emprovit,desinfectante,kalipto,botella,1gl,7.8,frescura marina,1.0,1,,volumen
emprovit,detergente líquido,ciclón,doypack,900ml,2.3,citrico,1.0,ojos,,volumen
emprovit,detergente líquido,fab,doypack,900ml,2.2,con un toque suavizante,2.0,medio y ojos,,volumen
emprovit,detergente líquido,ciclón,doypack,2.5lt,7.55,floral,1.0,1,,volumen
emprovit,detergente líquido,deja,doypack,1.8lt,5.15,floral,2.0,1,,volumen
emprovit,detergente líquido,perla,doypack,700ml,1.9,algodón,1.0,ojos,,volumen
emprovit,detergente líquido,dersa,doypack,1.8lt,3.95,poder,1.0,2,,volumen
emprovit,detergente líquido,fab,doypack,2lt,4.45,poder,1.0,1,,volumen
emprovit,detergente líquido,perla,doypack,300ml,0.8,algodón,1.0,3,,volumen
emprovit,detergente líquido,deja,doypack,300ml,0.83,floral,2.0,3,,volumen
emprovit,detergente líquido,ciclón,doypack,300ml,0.77,limon,1.0,3,,volumen
emprovit,detergente líquido,dersa,doypack,400ml,0.98,floral,4.0,arriba,,volumen
emprovit,detergente líquido,dersa,doypack,400ml,0.98,floral,4.0,3,,volumen
emprovit,detergente líquido,deja,doypack,300ml,0.83,floral,2.0,arriba,,volumen
emprovit,detergente líquido,dersa,doypack,900ml,2.05,floral,1.0,ojos,,volumen
emprovit,detergente líquido,perla,doypack,700ml,1.9,algodón,1.0,2,,volumen
emprovit,cucharas,plastife,paquete,50 unidades,0.34,beige,3.0,2,,unidades
emprovit,cucharas,plastife,paquete,50 unidades,0.19,azul,1.0,2,,unidades
emprovit,cuchara mediana,plastife,paquete,50 unidades,0.45,verde,1.0,2,,unidades
emprovit,cucharas,oxp,paquete,50 unidades,0.55,blanco,3.0,2,,unidades
mi caserita,desinfectante,tips,botella,240ml,0.45,manzana,3.0,1,"promo 3 por un $1, pero de la misma fragancia",volumen
emprovit,jabón liquido,jolly,botella,500ml,1.8,citrus,1.0,3,,volumen
emprovit,jabón liquido,only,botella,500ml,1.1,manzanilla,1.0,3,,volumen
emprovit,jabón liquido,only,botella,250ml,0.86,bambú,1.0,3,,volumen
emprovit,jabón liquido,sarys,doypack,1l,1.75,coco,1.0,3,,volumen
emprovit,desinfectante,kalipto,botella,2lt,4.15,eucalipto,1.0,1,,volumen
emprovit,desinfectante,kalipto,botella,1l,2.1,manzana verde,1.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,900ml,2.0,flor de manzana,1.0,ojos,,volumen
emprovit,desinfectante,elis,botella,1l,1.45,eucalipto,1.0,media,,volumen
emprovit,desinfectante,gol,doypack,550ml,0.63,lavanda,1.0,ojos,,volumen
emprovit,desinfectante,tips,botella,1l,1.35,lavanda,1.0,1,,volumen
emprovit,desinfectante,elis,botella,1gl,4.65,lavanda,1.0,1,,volumen
emprovit,desinfectante,tips,botella,500ml,0.68,explosión floral,1.0,media,,volumen
emprovit,desinfectante,olimpia,botella,450ml,0.85,flor de naranja,2.0,3,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,bosque de pinos,1.0,arriba,,volumen
emprovit,desinfectante,tips,botella,240ml,0.33,citronela,2.0,3,,volumen
emprovit,desinfectante,fabuloso,doypack,240ml,0.35,floral,2.0,3,,volumen
emprovit,desinfectante,estrella,botella,250ml,0.43,floral,2.0,3,,volumen
emprovit,desinfectante,fabuloso,botella,500ml,0.8,violeta,2.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,1l,2.1,floral,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,2lt,4.05,floral,2.0,2,,volumen
emprovit,desinfectante,kalipto,botella,1gl,7.8,manzana verde,1.0,1,,volumen
emprovit,detergente líquido,fab,doypack,900ml,2.2,vida activa,2.0,medioy ojos,,volumen
emprovit,detergente líquido,ciclón,doypack,2.5lt,7.55,con toque suavizante,1.0,1,,volumen
emprovit,detergente líquido,perla,doypack,300ml,0.8,manzanilla,2.0,arriba,,volumen
emprovit,cucharas,plastife,paquete,50 unidades,0.19,verde,1.0,2,,unidades
mi caserita,desinfectante,tips,botella,240ml,0.45,manzana,2.0,2,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,manzana,4.0,ojos,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,citronela,1.0,ojos,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,citronela,1.0,1,"promo 3 por un $1, pero de la misma fragancia",volumen
emprovit,jabón liquido,only,botella,500ml,1.45,rosas,2.0,3,,volumen
emprovit,desinfectante,kalipto,botella,2lt,4.15,manzana verde,2.0,1,,volumen
emprovit,desinfectante,kalipto,botella,1l,2.1,naranja + limon con bicarbonato,3.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,900ml,2.0,bosque de pinos,1.0,ojos,,volumen
emprovit,desinfectante,olimpia,botella,450ml,0.85,eucalipto,1.0,3,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,flor de manzana,1.0,arriba,,volumen
emprovit,desinfectante,tips,botella,240ml,0.33,explosión floral,2.0,3,,volumen
emprovit,desinfectante,fabuloso,doypack,240ml,0.35,naranja,1.0,3,,volumen
emprovit,desinfectante,estrella,botella,250ml,0.43,lavanda,2.0,3,,volumen
emprovit,desinfectante,fabuloso,botella,500ml,0.8,floral,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,1l,2.1,lavanda,1.0,ojos,,volumen
emprovit,desinfectante,kalipto,botella,1gl,7.8,limon+ verbena,1.0,1,,volumen
emprovit,cucharas,plastife,paquete,50 unidades,0.19,amarillo,2.0,2,,unidades
mi caserita,desinfectante,tips,botella,240ml,0.45,citronela,1.0,2,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,floral,2.0,1,"promo 3 por un $1, pero de la misma fragancia",volumen
emprovit,desinfectante,kalipto,botella,2lt,4.15,limon + verbena,2.0,1,,volumen
emprovit,desinfectante,kalipto,botella,2lt,4.15,frescura marina,1.0,1,,volumen
emprovit,desinfectante,kalipto,botella,1l,2.1,pasion frutal,1.0,media,,volumen
emprovit,desinfectante,olimpia,botella,450ml,0.85,lavanda,1.0,3,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,frescura herbal,1.0,arriba,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,eucalipto,1.0,arriba,,volumen
emprovit,desinfectante,kalipto,botella,1l,2.1,naranja,1.0,media,,volumen
emprovit,desinfectante,kalipto,botella,1gl,7.8,eucalipto,1.0,1,,volumen
emprovit,desinfectante,fabuloso,botella,1l,2.1,bosque de pinos,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,500ml,0.8,naranja,1.0,ojos,,volumen
emprovit,desinfectante,fabuloso,botella,2lt,4.05,frescura natural,1.0,2,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,lavanda,1.0,arriba,,volumen
emprovit,desinfectante,olimpia,botella,240ml,0.4,flor de naranja,1.0,arriba,,volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,floral,3.0,2,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,240ml,0.45,floral,4.0,ojos,"promo 3 por un $1, pero de la misma fragancia",volumen
mi caserita,desinfectante,tips,botella,1gl,6.39,lavanda,1.0,1,,volumen
mi caserita,desinfectante,olimpia,botella,900ml,1.99,lavanda,1.0,1,,volumen
mi caserita,desinfectante,olimpia,botella,900ml,1.99,eucalipto,1.0,2,,volumen
mi caserita,desinfectante,olimpia,botella,900ml,1.99,eucalipto,1.0,ojos,,volumen
mi caserita,desinfectante,olimpia,botella,900ml,1.99,flor de manzana,1.0,2,,volumen
mi caserita,desinfectante,olimpia,botella,900ml,1.99,manzana y canela,1.0,ojos,,volumen
mi caserita,desinfectante,fabuloso,botella,1l,1.99,floral,1.0,2,,volumen
mi caserita,desinfectante,fabuloso,botella,1gl,4.39,floral,1.0,1,,volumen
mi caserita,desinfectante,fabuloso,botella,1gl,4.39,lavanda,1.0,1,,volumen
mi caserita,desinfectante,fabuloso,botella,500ml,0.89,floral,1.0,ojos,,volumen
mi caserita,desinfectante,fabuloso,botella,1l,1.99,lavanda,1.0,2,,volumen
mi caserita,desinfectante,fabuloso,botella,1l,1.99,aroma de bebe,1.0,2,,volumen
mi caserita,desinfectante,fabuloso,botella,500ml,0.89,lavanda,1.0,ojos,,volumen
mi caserita,desinfectante,florax,botella,200ml,0.38,eucalipto,2.0,3,,volumen
mi caserita,desinfectante,fabuloso,doypack,240ml,0.45,floral,4.0,3,,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,floral,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,eucalipto,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,lavanda,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,marina,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,limon,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,manzana,1.0,1,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,floral,2.0,2,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,eucalipto,2.0,2,oferta el 25% 0.75 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,lavanda,2.0,2,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,marina,2.0,2,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,limon,2.0,2,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,manzana,2.0,2,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,floral,1.0,ojos,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,eucalipto,3.0,ojos,oferta el 25% 0.75 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,lavanda,2.0,ojos,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,marina,2.0,ojos,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,limon,2.0,ojos,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,manzana,2.0,ojos,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,floral,2.0,3,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,eucalipto,2.0,3,oferta el 25% 0.75 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,lavanda,2.0,3,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,marina,2.0,3,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,limon,2.0,3,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,manzana,2.0,3,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,floral,2.0,arriba,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,eucalipto,2.0,arriba,oferta el 25% 0.75 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,lavanda,2.0,arriba,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,marina,2.0,arriba,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,limon,2.0,arriba,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,justo,botella,1l,1.0,manzana,2.0,arriba,oferta el 15% 0.85 pvp,volumen
mi caserita,desinfectante,tan uniko,doypack,1l,1.5,lavanda,3.0,1,oferta el 47% 0.79pvp,volumen
